path,final_status,category,evidence,confidence,notes
"modules/theme/resources/css/footer.css","RECOVERED_EXACTLY","stylesheet","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/css/header.css","RECOVERED_EXACTLY","stylesheet","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/css/homepage.css","RECOVERED_EXACTLY","stylesheet","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/css/theme.css","RECOVERED_EXACTLY","stylesheet","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/badge.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/button.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/card.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/category-card.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/container.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/empty-state.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/heading.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/image.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/loading-skeleton.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/price.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/product-card.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/components/section.blade.php","RECOVERED_EXACTLY","blade_view","backup SHA-256 and recovery inventory","exact","byte-exact recovered file"
"modules/theme/resources/views/blocks/account-action.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/announcement-bar.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/brand-carousel.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/cart-action.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/category-grid.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/category-menu.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/copyright.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/footer-brand.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/footer-contact.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/footer-links.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/footer-social.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/hero-slider.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/mega-menu.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/mobile-bottom-navigation.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/mobile-header.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/newsletter.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/posts.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/product-carousel.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/product-search.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/promotion-banner-grid.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/service-features.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/site-logo.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/blocks/trust-badges.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/resources/views/templates/show.blade.php","RECONSTRUCTED_WITH_HIGH_CONFIDENCE","blade_view","compiled Blade views, component contracts, status reports","high","reconstructed source view; path and contract verified"
"modules/theme/src/ThemeContext.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Services/ThemeBlockResolver.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Services/TemplateResolver.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Services/ActiveThemeResolver.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Http/Controllers/ThemeTemplateController.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Http/Controllers/ProductSearchController.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/Facades/ActiveTheme.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/DataProviders/ProductDataProvider.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/DataProviders/HeaderDataProvider.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/DataProviders/CategoryDataProvider.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/DataProviders/BrandDataProvider.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"modules/theme/src/DataProviders/BlogDataProvider.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","php_source","surviving source references, tests, reports","partial","public API and path verified; original bytes unavailable"
"tests/Feature/ThemeTemplateResolutionTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/PersianCommerceHomepageTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/PersianCommerceHeaderTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/PersianCommerceFooterTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/ThemeProductCardTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/ThemeEngineTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/ThemeDynamicDataTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"tests/Feature/PersianCommerceThemeSeederTest.php","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","test","status reports and surviving implementation","partial","coverage reconstructed; historical body/count unavailable"
"THEME_DESIGN_SYSTEM_STATUS.md","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","documentation","surviving reports, source and tests","partial","purpose reconstructed; original wording unavailable"
"THEME_HEADER_STATUS.md","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","documentation","surviving reports, source and tests","partial","purpose reconstructed; original wording unavailable"
"THEME_PRODUCT_CARD_STATUS.md","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","documentation","surviving reports, source and tests","partial","purpose reconstructed; original wording unavailable"
"THEME_FOOTER_STATUS.md","RECONSTRUCTED_WITH_PARTIAL_CONFIDENCE","documentation","surviving reports, source and tests","partial","purpose reconstructed; original wording unavailable"
